time StartCity district Id stype EndCity Count
"2021-09-15 09:00:00" 1 104 2713 21 9 2
"2021-05-16 11:00:00" 1 107 1044 11 6 1
"2021-05-16 12:00:00" 1 107 1044 11 6 0
"2021-05-16 13:00:00" 1 107 1044 11 6 0
"2021-05-16 14:00:00" 1 107 1044 11 6 0
"2021-05-16 15:00:00" 1 107 1044 11 6 0
"2021-05-16 16:00:00" 1 107 1044 11 6 0
"2021-05-16 17:00:00" 1 107 1044 11 6 0
"2021-05-16 18:00:00" 1 107 1044 11 6 0
"2021-05-16 19:00:00" 1 107 1044 11 6 0
"2021-05-16 20:00:00" 1 107 1044 11 6 0
"2021-05-16 21:00:00" 1 107 1044 11 6 0
"2021-05-16 22:00:00" 1 107 1044 11 6 0
"2021-05-16 23:00:00" 1 107 1044 11 6 0
"2021-05-17 00:00:00" 1 107 1044 11 6 0
"2021-05-17 01:00:00" 1 107 1044 11 6 0
"2021-05-17 02:00:00" 1 107 1044 11 6 0
"2021-05-17 03:00:00" 1 107 1044 11 6 0
"2021-05-17 04:00:00" 1 107 1044 11 6 0
"2021-05-17 05:00:00" 1 107 1044 11 6 0
"2021-05-17 06:00:00" 1 107 1044 11 6 0
"2021-05-17 07:00:00" 1 107 1044 11 6 0
"2021-05-17 08:00:00" 1 107 1044 11 6 0
"2021-05-17 09:00:00" 1 107 1044 11 6 0
"2021-05-17 10:00:00" 1 107 1044 11 6 0
"2021-05-17 11:00:00" 1 107 1044 11 6 0
"2021-05-17 12:00:00" 1 107 1044 11 6 0
"2021-05-17 13:00:00" 1 107 1044 11 6 0
"2021-05-17 14:00:00" 1 107 1044 11 6 0
"2021-05-17 15:00:00" 1 107 1044 11 6 0
"2021-05-17 16:00:00" 1 107 1044 11 6 0
"2021-05-17 17:00:00" 1 107 1044 11 6 0
"2021-05-17 18:00:00" 1 107 1044 11 6 0
"2021-05-17 19:00:00" 1 107 1044 11 6 0
"2021-05-17 20:00:00" 1 107 1044 11 6 0
"2021-05-17 21:00:00" 1 107 1044 11 6 0
"2021-05-17 22:00:00" 1 107 1044 11 6 0
"2021-05-17 23:00:00" 1 107 1044 11 6 0
"2021-05-18 00:00:00" 1 107 1044 11 6 0
"2021-05-18 01:00:00" 1 107 1044 11 6 0
"2021-05-18 02:00:00" 1 107 1044 11 6 0
"2021-05-18 03:00:00" 1 107 1044 11 6 0
"2021-05-18 04:00:00" 1 107 1044 11 6 0
"2021-05-18 05:00:00" 1 107 1044 11 6 0
"2021-05-18 06:00:00" 1 107 1044 11 6 0
"2021-05-18 07:00:00" 1 107 1044 11 6 0
"2021-05-18 08:00:00" 1 107 1044 11 6 0
"2021-05-18 09:00:00" 1 107 1044 11 6 0
"2021-05-18 10:00:00" 1 107 1044 11 6 0
"2021-05-18 11:00:00" 1 107 1044 11 6 0
